Time,Magnitude
4741,1.005612
4742,1.008113
4743,1.011576
4744,1.008548
4745,1.005086
4746,1.005552
4747,1.004638
4748,1.005665
4749,1.005163
4750,1.008987
4751,1.006502
4752,1.007364
4753,1.004039
4754,1.005039
4755,1.002075
4756,1.003039
4757,1.005463
4758,1.005379
4759,1.000003
4760,1.004403
4761,1.005989
4762,1.004577
4763,1.003082
4764,1.001565
4765,1.002277
4766,1.006193
4767,1.011079
4768,1.007911
4769,1.005821
4770,1.006521
4771,1.005624
4772,1.006998
4773,1.009889
4774,1.008364
4775,1.007461
4776,1.004032
4777,1.002616
4778,1.006088
4779,1.006654
4780,1.004490
4781,1.003141
4782,1.003175
4783,1.004157
4784,1.003130
4785,1.008616
4786,1.008581
4787,1.008651
4788,1.007211
4789,1.008616
4790,1.009449
4791,1.004439
4792,1.007975
4793,1.007040
4794,1.005957
4795,1.004063
4796,1.001071
4797,1.001638
4798,1.002036
4799,1.004480
4800,1.006469
4801,1.004576
4802,1.006568
4803,1.005978
4804,1.002491
4805,1.007146
4806,1.007430
4807,1.007477
4808,1.006225
4809,1.008170
4810,1.005196
4811,1.007990
4812,1.007470
4813,1.005869
4814,1.004967
4815,1.002992
4816,1.002555
4817,1.003407
4818,1.002942
4819,1.003983
4820,1.002546
4821,1.007066
4822,1.005624
4823,1.007521
4824,1.005587
4825,1.003187
4826,1.005143
4827,1.007052
4828,1.005143
4829,1.006080
4830,1.007029
4831,1.003617
4832,1.004547
4833,0.999519
4834,1.000640
4835,1.009575
4836,1.006649
4837,1.004249
4838,1.008509
4839,1.005061
4840,1.007073
4841,1.002713
4842,1.004250
4843,1.003697
4844,1.005767
4845,1.006455
4846,1.003027
4847,1.004512
4848,1.005079
4849,1.004755
4850,1.004982
4851,1.006054
4852,1.003679
4853,1.002290
4854,1.002688
4855,1.001640
4856,1.005702
4857,1.008102
4858,1.009068
4859,1.002732
4860,0.994970
4861,0.996730
4862,1.003113
4863,1.006503
4864,1.005575
4865,1.010082
4866,1.006245
4867,1.007689
4868,1.006567
4869,1.007996
